발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00   ,0.00      ,0.0     ,15.9
0.00   ,0.00      ,0.0     ,16.3
0.00   ,0.00      ,0.0     ,16.5
0.00   ,0.00      ,0.0     ,15.9
0.00   ,0.00      ,0.0     ,15.7
0.00   ,0.00      ,0.0     ,15.8
0.00   ,0.00      ,0.0     ,15.9
0.00   ,0.00      ,1.0     ,15.7
6.43   ,6.43      ,9.0     ,15.8
16.87   ,23.30      ,32.6     ,15.6
26.76   ,50.06      ,40.8     ,15.8
40.98   ,91.04      ,87.4     ,16.2
51.94   ,142.98      ,81.9     ,16.2
55.33   ,198.31      ,71.5     ,16.0
55.34   ,253.65      ,66.1     ,16.1
40.93   ,294.58      ,53.9     ,16.4
28.12   ,322.70      ,30.6     ,16.5
15.01   ,337.71      ,16.5     ,16.3
3.51   ,341.22      ,5.0     ,16.2
0.00   ,341.22      ,0.0     ,15.9
0.00   ,341.22      ,0.0     ,15.9
0.00   ,341.22      ,0.0     ,16.0
0.00   ,341.22      ,0.0     ,16.3
0.00   ,341.22      ,0.0     ,16.4
