발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00   ,0.00      ,0.0     ,19.7
0.00   ,0.00      ,0.0     ,19.6
0.00   ,0.00      ,0.0     ,18.8
0.00   ,0.00      ,0.0     ,18.0
0.00   ,0.00      ,0.0     ,17.7
0.00   ,0.00      ,0.0     ,17.8
0.00   ,0.00      ,0.0     ,18.3
0.00   ,0.00      ,1.6     ,18.3
0.29   ,0.29      ,16.5     ,18.3
0.65   ,0.94      ,55.6     ,17.7
1.26   ,2.20      ,129.8     ,18.3
1.59   ,3.79      ,171.1     ,19.6
2.92   ,6.71      ,273.2     ,19.1
2.92   ,9.63      ,359.1     ,20.1
3.47   ,13.10      ,404.7     ,20.3
2.46   ,15.56      ,282.9     ,20.8
1.42   ,16.98      ,148.8     ,20.6
0.76   ,17.74      ,58.4     ,20.2
0.10   ,17.84      ,6.9     ,20.5
0.00   ,17.84      ,0.0     ,19.1
0.00   ,17.84      ,0.0     ,19.3
0.00   ,17.84      ,0.0     ,19.5
0.00   ,17.84      ,0.0     ,20.3
0.00   ,17.84      ,0.0     ,19.6
