발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00   ,0.00      ,0.0     ,15.6
0.00   ,0.00      ,0.0     ,15.6
0.00   ,0.00      ,0.0     ,15.7
0.00   ,0.00      ,0.0     ,15.5
0.00   ,0.00      ,0.0     ,15.4
0.00   ,0.00      ,0.0     ,15.1
0.00   ,0.00      ,0.0     ,15.1
0.00   ,0.00      ,1.7     ,14.9
1.14   ,1.14      ,68.3     ,15.0
2.88   ,4.02      ,188.8     ,16.2
3.75   ,7.77      ,301.0     ,17.6
4.32   ,12.09      ,359.1     ,18.4
5.18   ,17.27      ,382.0     ,18.7
6.04   ,23.31      ,361.8     ,19.2
6.12   ,29.43      ,339.2     ,19.5
5.31   ,34.74      ,296.9     ,20.0
3.79   ,38.53      ,204.6     ,20.2
2.38   ,40.91      ,117.9     ,20.2
0.79   ,41.70      ,34.0     ,19.9
0.00   ,41.70      ,0.0     ,19.6
0.00   ,41.70      ,0.0     ,19.0
0.00   ,41.70      ,0.0     ,18.6
0.00   ,41.70      ,0.0     ,17.7
0.00   ,41.70      ,0.0     ,17.4
