발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00   ,0.00      ,0.0     ,22.6
0.00   ,0.00      ,0.0     ,23.0
0.00   ,0.00      ,0.0     ,23.5
0.00   ,0.00      ,0.0     ,23.2
0.00   ,0.00      ,0.0     ,22.9
0.00   ,0.00      ,0.0     ,22.7
0.00   ,0.00      ,0.0     ,22.9
0.00   ,0.00      ,5.5     ,23.7
9.66   ,9.66      ,131.0     ,24.3
20.36   ,30.02      ,260.3     ,24.4
30.22   ,60.24      ,325.5     ,25.0
33.31   ,93.55      ,449.7     ,25.3
30.05   ,123.60      ,557.5     ,24.1
17.22   ,140.82      ,224.4     ,22.9
7.77   ,148.59      ,64.6     ,22.4
5.27   ,153.86      ,67.9     ,22.1
4.93   ,158.79      ,76.1     ,22.0
3.36   ,162.15      ,51.1     ,22.1
1.05   ,163.20      ,10.2     ,22.0
0.00   ,163.20      ,0.0     ,22.8
0.00   ,163.20      ,0.0     ,22.1
0.00   ,163.20      ,0.0     ,22.3
0.00   ,163.20      ,0.0     ,22.3
0.00   ,163.20      ,0.0     ,22.4
