발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,15.1
0.00,0.00,0.0,15.2
0.00,0.00,0.0,15.1
0.00,0.00,0.0,15.0
0.00,0.00,0.0,15.1
0.00,0.00,0.0,15.5
0.00,0.00,0.0,15.2
0.00,0.00,15.9,15.8
279.55,279.55,161.6,17.6
628.38,907.93,343.5,18.8
923.25,1831.18,493.1,20.5
1180.16,3011.34,597.5,22.1
1408.17,4419.51,649.4,22.7
1477.09,5896.60,640.0,22.0
1405.12,7301.72,559.9,20.7
1212.83,8514.55,440.2,20.4
909.32,9423.87,286.3,20.9
520.51,9944.38,127.2,20.6
127.50,10071.88,14.0,19.3
0.00,10071.88,0.0,18.9
0.00,10071.88,0.0,18.3
0.00,10071.88,0.0,18.5
0.00,10071.88,0.0,18.5
0.00,10071.88,0.0,18.3
