발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,22.3
0.00,0.00,0.0,22.3
0.00,0.00,0.0,22.3
0.00,0.00,0.0,22.2
0.00,0.00,0.0,22.2
0.00,0.00,0.0,22.3
0.00,0.00,0.0,22.2
0.00,0.00,3.6,22.2
12.82,12.82,90.7,22.4
28.75,41.57,236.2,23.1
45.46,87.03,347.2,23.8
59.45,146.48,374.6,24.2
110.44,381.98,649.4,22.7
109.87,491.85,640.0,22.0
96.91,588.76,559.9,20.7
82.08,670.84,440.2,20.4
59.55,730.39,286.3,20.9
30.43,760.82,127.2,20.6
5.34,766.16,14.0,19.3
0.00,766.16,0.0,18.9
0.00,766.16,0.0,18.3
0.00,766.16,0.0,18.5
0.00,766.16,0.0,18.5
0.00,766.16,0.0,18.3
