발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,17.4
0.00,0.00,0.0,16.8
0.00,0.00,0.0,16.1
0.00,0.00,0.0,16.0
0.00,0.00,0.0,16.0
0.00,0.00,0.0,15.8
0.00,0.00,0.0,16.0
0.00,0.00,2.7,15.9
12.40,12.40,70.1,17.0
26.86,39.26,152.1,18.4
38.03,77.29,230.5,19.1
50.12,127.41,306.0,19.6
60.95,188.36,431.3,20.5
67.86,256.22,491.0,21.5
68.92,325.14,496.6,22.6
60.84,385.98,478.5,22.7
45.40,431.38,334.3,22.3
25.41,456.79,189.3,21.5
5.74,462.53,35.7,20.0
0.00,462.53,0.0,19.0
0.00,462.53,0.0,18.0
0.00,462.53,0.0,17.7
0.00,462.53,0.0,17.7
0.00,462.53,0.0,17.5
