발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,16.7
0.00,0.00,0.0,16.0
0.00,0.00,0.0,15.0
0.00,0.00,0.0,14.5
0.00,0.00,0.0,14.4
0.00,0.00,0.0,14.6
0.00,0.00,0.0,12.9
0.00,0.00,11.7,13.8
31.89,31.89,159.3,15.4
67.08,98.97,338.3,17.0
99.03,198.00,535.5,18.5
121.82,319.82,674.7,20.2
133.22,453.04,745.7,22.0
132.26,585.30,738.1,23.5
122.53,707.83,682.8,24.4
103.21,811.04,558.3,24.2
75.43,886.47,389.1,24.1
40.58,927.05,179.7,22.6
7.76,934.81,33.0,19.4
0.00,934.81,0.0,18.6
0.00,934.81,0.0,17.8
0.00,934.81,0.0,17.8
0.00,934.81,0.0,17.1
0.00,934.81,0.0,16.5
