발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,17.8
0.00,0.00,0.0,17.4
0.00,0.00,0.0,16.8
0.00,0.00,0.0,15.5
0.00,0.00,0.0,14.8
0.00,0.00,0.0,14.5
0.00,0.00,0.0,14.5
0.00,0.00,10.6,15.2
44.83,44.83,114.5,16.5
90.96,135.79,276.0,17.9
131.64,267.43,440.8,19.4
163.35,430.78,580.0,20.5
187.99,618.77,686.9,21.9
188.75,807.52,713.3,22.8
173.69,981.21,606.1,23.3
146.99,1128.20,506.0,23.9
107.35,1235.55,373.9,23.6
57.42,1292.97,186.9,22.3
9.92,1302.89,28.4,20.5
0.00,1302.89,0.0,19.8
0.00,1302.89,0.0,19.8
0.00,1302.89,0.0,19.2
0.00,1302.89,0.0,19.1
0.00,1302.89,0.0,18.6
