발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,18.6
0.00,0.00,0.0,18.4
0.00,0.00,0.0,18.5
0.00,0.00,0.0,18.2
0.00,0.00,0.0,18.6
0.00,0.00,0.0,18.7
0.00,0.00,0.0,19.3
0.00,0.00,1.2,19.3
1.51,1.51,30.5,19.5
5.18,6.69,106.7,20.1
8.70,15.39,194.0,20.4
10.79,26.18,189.1,20.3
10.36,36.54,198.5,20.4
11.62,48.16,210.7,20.4
5.38,53.54,122.4,20.1
2.61,56.15,57.0,19.2
1.59,57.74,34.5,19.0
0.62,58.36,16.7,18.8
0.17,58.53,3.3,18.6
0.00,58.53,0.0,18.5
0.00,58.53,0.0,18.0
0.00,58.53,0.0,17.4
0.00,58.53,0.0,16.4
0.00,58.53,0.0,16.4
