발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,19.5
0.00,0.00,0.0,19.2
0.00,0.00,0.0,19.0
0.00,0.00,0.0,19.0
0.00,0.00,0.0,18.5
0.00,0.00,0.0,18.6
0.00,0.00,0.0,18.7
0.00,0.00,1.8,18.6
2.88,2.88,63.4,19.4
7.74,10.62,172.5,20.4
11.25,21.87,252.8,21.1
15.83,39.14,546.4,20.5
19.04,58.18,698.7,21.8
19.46,77.64,696.0,22.7
17.45,95.09,577.8,23.5
13.98,109.07,487.1,23.7
9.78,118.85,333.2,24.0
5.69,124.54,176.8,22.9
1.03,125.57,28.9,20.8
0.00,125.57,0.0,20.4
0.00,125.57,0.0,19.2
0.00,125.57,0.0,18.1
0.00,125.57,0.0,18.0
0.00,125.57,0.0,18.0
