발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,18.8
0.00,0.00,0.0,18.7
0.00,0.00,0.0,18.5
0.00,0.00,0.0,17.8
0.00,0.00,0.0,17.6
0.00,0.00,0.0,17.1
0.00,0.00,0.0,17.6
0.00,0.00,1.3,17.6
0.33,0.33,22.7,17.9
0.82,1.15,60.7,18.4
1.06,2.21,70.2,18.6
1.38,3.59,95.4,18.7
2.31,5.90,174.3,19.3
1.84,7.74,142.9,19.2
1.55,9.29,117.4,19.1
1.25,10.54,81.1,19.1
1.34,11.88,91.3,18.8
0.40,12.28,26.0,18.4
0.06,12.34,3.5,18.1
0.00,12.34,0.0,17.6
0.00,12.34,0.0,17.1
0.00,12.34,0.0,16.9
0.00,12.34,0.0,17.1
0.00,12.34,0.0,17.1
