발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,19.3
0.00,0.00,0.0,19.3
0.00,0.00,0.0,18.8
0.00,0.00,0.0,18.1
0.00,0.00,0.0,17.8
0.00,0.00,0.0,17.5
0.00,0.00,0.0,17.0
0.00,0.00,17.8,17.4
11.14,11.14,173.9,18.6
21.50,32.64,374.9,20.0
29.74,62.38,541.3,20.4
35.26,97.64,673.4,21.4
38.14,135.78,737.7,22.3
37.14,172.92,739.8,24.0
34.57,207.49,677.7,24.4
29.28,236.77,551.3,24.6
20.63,257.40,333.0,22.3
10.81,268.21,169.3,21.7
1.83,270.04,25.1,20.4
0.00,270.04,0.0,20.3
0.00,270.04,0.0,20.2
0.00,270.04,0.0,19.6
0.00,270.04,0.0,19.6
0.00,270.04,0.0,19.3
