발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,15.1
0.00,0.00,0.0,15.2
0.00,0.00,0.0,16.6
0.00,0.00,0.0,16.2
0.00,0.00,0.0,16.3
0.00,0.00,0.0,16.1
0.00,0.00,0.0,16.4
0.00,0.00,2.7,16.5
1.19,1.19,66.6,17.2
3.00,4.19,199.6,18.1
3.91,8.10,260.5,18.7
5.45,13.55,344.5,19.6
6.47,20.02,466.5,20.7
7.67,27.69,566.8,21.7
7.85,35.54,616.5,22.8
7.02,42.56,499.0,23.0
5.09,47.65,303.6,23.6
2.95,50.60,169.3,23.2
0.69,51.29,35.2,22.2
0.00,51.29,0.0,21.4
0.00,51.29,0.0,20.7
0.00,51.29,0.0,20.2
0.00,51.29,0.0,20.1
0.00,51.29,0.0,19.3
