발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00   ,0.00      ,0.0     ,15.7
0.00   ,0.00      ,0.0     ,15.8
0.00   ,0.00      ,0.0     ,16.2
0.00   ,0.00      ,0.0     ,16.1
0.00   ,0.00      ,0.0     ,16.2
0.00   ,0.00      ,0.0     ,16.2
0.00   ,0.00      ,0.0     ,16.1
0.00   ,0.00      ,0.5     ,16.2
0.13   ,0.13      ,6.4     ,16.2
0.25   ,0.38      ,14.7     ,15.5
0.44   ,0.82      ,25.3     ,15.0
0.68   ,1.50      ,51.8     ,15.0
0.90   ,2.40      ,56.2     ,15.2
1.07   ,3.47      ,67.8     ,15.6
0.98   ,4.45      ,53.4     ,15.7
0.95   ,5.40      ,53.3     ,15.8
0.65   ,6.05      ,38.1     ,16.2
0.29   ,6.34      ,17.0     ,16.2
0.07   ,6.41      ,3.6     ,16.2
0.00   ,6.41      ,0.0     ,16.1
0.00   ,6.41      ,0.0     ,15.8
0.00   ,6.41      ,0.0     ,15.3
0.00   ,6.41      ,0.0     ,16.6
0.00   ,6.41      ,0.0     ,16.7
