발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,17.2
0.00,0.00,0.0,18.1
0.00,0.00,0.0,17.7
0.00,0.00,0.0,17.2
0.00,0.00,0.0,16.9
0.00,0.00,0.0,16.7
0.00,0.00,0.0,16.7
0.00,0.00,19.0,17.0
2.85,2.85,162.0,18.0
5.58,8.43,359.7,19.7
7.72,16.15,532.6,21.2
8.81,24.96,649.6,22.1
8.19,33.15,709.1,22.5
7.65,40.80,623.2,22.3
7.49,48.29,515.9,22.5
6.66,54.95,496.2,22.3
4.45,59.40,335.2,22.2
2.25,61.65,161.7,21.7
0.35,62.00,19.0,20.7
0.00,62.00,0.0,20.1
0.00,62.00,0.0,19.5
0.00,62.00,0.0,19.2
0.00,62.00,0.0,19.0
0.00,62.00,0.0,19.0
