발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,19.4
0.00,0.00,0.0,18.9
0.00,0.00,0.0,18.2
0.00,0.00,0.0,17.7
0.00,0.00,0.0,17.5
0.00,0.00,0.0,17.2
0.00,0.00,0.0,17.0
0.00,0.00,0.6,17.0
1.40,1.40,30.5,16.9
3.58,4.98,73.3,16.9
5.33,10.31,145.2,16.9
5.28,15.59,140.9,17.0
3.98,19.57,119.2,17.1
4.73,24.30,123.9,17.2
3.52,27.82,233.4,17.7
3.01,30.83,149.7,18.1
2.67,33.50,161.7,18.4
1.26,34.76,74.5,18.7
0.38,35.14,10.6,18.6
0.00,35.14,0.0,18.4
0.00,35.14,0.0,18.0
0.00,35.14,0.0,17.7
0.00,35.14,0.0,17.7
0.00,35.14,0.0,17.7
