발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,15.2
0.00,0.00,0.0,15.5
0.00,0.00,0.0,15.7
0.00,0.00,0.0,15.7
0.00,0.00,0.0,15.8
0.00,0.00,0.0,15.8
0.00,0.00,0.0,16.1
0.00,0.00,0.3,16.2
1.46,1.46,6.5,16.5
4.13,5.59,23.9,16.6
8.69,14.28,71.2,17.1
17.15,31.43,117.6,17.6
28.86,60.29,242.5,18.5
28.40,88.69,251.0,19.1
23.13,111.82,178.4,19.1
19.27,131.09,100.6,18.0
12.42,143.51,62.0,17.6
8.53,152.04,41.2,17.9
3.60,155.64,22.2,17.6
0.00,155.64,0.0,17.5
0.00,1735.16,0.0,20.3
0.00,1735.16,0.0,20.1
0.00,1735.16,0.0,20.1
0.00,1735.16,0.0,20.7
