발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,16.7
0.00,0.00,0.0,16.0
0.00,0.00,0.0,19.6
0.00,0.00,0.0,19.4
0.00,0.00,0.0,19.1
0.00,0.00,0.0,19.1
0.00,0.00,0.0,19.0
0.00,0.00,2.3,19.0
11.70,11.70,42.9,20.0
31.88,43.58,128.8,20.7
61.79,105.37,335.1,21.9
83.87,189.24,517.2,22.9
91.02,280.26,666.1,24.0
89.90,370.16,605.3,24.4
87.22,457.38,520.5,25.1
77.05,534.43,535.7,24.8
57.78,592.21,392.7,24.1
32.68,624.89,200.2,22.9
8.02,632.91,45.0,21.6
0.00,632.91,0.0,21.3
0.00,632.91,0.0,20.9
0.00,632.91,0.0,20.6
0.00,632.91,0.0,20.8
0.00,632.91,0.0,20.8
