발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,21.7
0.00,0.00,0.0,21.9
0.00,0.00,0.0,22.2
0.00,0.00,0.0,22.2
0.00,0.00,0.0,21.9
0.00,0.00,0.0,21.7
0.00,0.00,0.0,22.0
0.00,0.00,4.8,22.1
7.14,7.14,107.2,22.8
17.70,24.84,225.3,23.2
21.96,46.80,310.7,23.8
28.24,75.04,444.4,24.2
33.56,108.60,497.8,23.9
39.18,147.78,604.6,24.3
36.52,184.30,450.0,23.4
31.65,215.95,217.1,23.6
22.17,238.12,258.4,23.6
14.93,253.05,178.9,23.8
5.48,258.53,59.7,23.0
0.00,258.53,0.0,22.9
0.00,258.53,0.0,23.0
0.00,258.53,0.0,22.9
0.00,258.53,0.0,22.7
0.00,258.53,0.0,22.4
