발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,18.2
0.00,0.00,0.0,18.3
0.00,0.00,0.0,17.7
0.00,0.00,0.0,17.2
0.00,0.00,0.0,16.8
0.00,0.00,0.0,16.9
0.00,0.00,0.0,17.1
0.00,0.00,1.0,17.6
11.40,11.40,19.0,17.8
31.55,42.95,60.7,18.2
54.00,96.95,91.8,18.5
75.14,172.09,134.4,18.6
75.33,247.42,252.3,19.2
72.71,320.13,120.6,19.3
52.39,372.52,87.7,19.0
43.28,415.80,99.5,19.1
29.76,445.56,70.6,18.6
13.78,459.34,30.0,17.9
3.19,462.53,4.1,17.9
0.00,462.53,0.0,17.3
0.00,462.53,0.0,16.8
0.00,462.53,0.0,17.0
0.00,462.53,0.0,16.8
0.00,462.53,0.0,16.7
